Date,Open,High,Low,Close,Volume
8/7/2021,39.52,40.5,37.58,39.48,1800881.38
8/8/2021,39.48,39.57,36.93,37.67,1005602.94
8/9/2021,37.67,40.03,36.37,38.69,1244065.55
8/10/2021,38.69,41.67,38.23,40.68,1742432.35
8/11/2021,40.68,43.76,40.63,41.66,1879170.1
8/12/2021,41.6,41.87,39.34,41.09,1137946.31
8/13/2021,41.09,44.95,40.71,44.89,1980361.7
8/14/2021,44.89,44.9,42.77,44.16,1074740.94
8/15/2021,44.16,54.75,43.42,53.53,4408258.04
8/16/2021,53.53,69.33,52.33,62.15,8950292.47
8/17/2021,62.15,75,58.81,64.18,10105322.08
8/18/2021,64.18,80.52,59.98,72.79,11285254.23
8/19/2021,72.79,75.34,68.39,72.82,5798645.5
8/20/2021,72.82,79.95,70.96,78.68,3092100.02
8/21/2021,78.68,81.92,72.69,73.89,1826225.86
8/22/2021,73.89,77.59,71.31,72.75,1505941.19
8/23/2021,72.75,76.74,71.6,75.66,2195895.01
8/24/2021,75.66,79.4,68.68,70.67,3371922.83
8/25/2021,70.67,72.78,66.2,71.94,2239961.7
8/26/2021,71.94,78.29,66.28,74.85,6427283.76
8/27/2021,74.85,88.87,72.65,88.11,4102933.7
8/28/2021,88.11,97.86,85.65,96.38,2293192.29
8/29/2021,96.38,97.82,90.66,94.29,1654595.15
8/30/2021,94.29,116.31,93.79,110.17,4652599.85
8/31/2021,110.17,130,103.13,108.34,6218170.37
9/1/2021,108.34,119.56,106.02,110.73,3350868.08
9/2/2021,110.73,132.08,109.37,128.29,6797626.5
9/3/2021,128.29,148.91,128.21,146.46,7050582.45
9/4/2021,146.46,150.67,136.03,139,2211486.59
9/5/2021,139,144.99,134.85,142.11,1679051.25
9/6/2021,142.11,166.06,137.68,164.31,2685095.43
9/7/2021,164.31,194.96,131.78,173.2,8272735.45
9/8/2021,173.2,197.94,146.72,191.01,11751900.24
9/9/2021,191.01,215.85,179.4,187.7,12250108.39
9/10/2021,187.7,197.27,168.1,179.5,7882931.45
